[Header]
DATATYPE,TIME,1
STARTUPAXIS, X, 1, LINEAR, AUTO
STARTUPAXIS, Y1, 4, LINEAR, AUTO
STARTUPAXIS, Y2, 2, LINEAR, AUTO
INFO,[Header]
INFO,DATATYPE,TIME,1
INFO,STARTUPAXIS, X, 1, LINEAR, AUTO
INFO,STARTUPAXIS, Y1, 4, LINEAR, AUTO
INFO,STARTUPAXIS, Y2, 2, LINEAR, AUTO
[Data]
Time (sec), Power (W), Resistance (Ohm), Temperature (K)
158.83734,0.0055973036,127.33218,143.56251
160.13928,0.0055973622,127.21271,143.70644
161.44123,0.0055974319,127.09573,143.8476
162.74317,0.00559749,126.98055,143.98687
164.04512,0.0055975578,126.86694,144.12447
165.34706,0.0055976154,126.75507,144.26019
166.64901,0.0055976672,126.64508,144.39386
167.95095,0,127.06889,143.88003
169.2529,0,127.65671,143.17291
170.55484,0,128.07349,142.67541
171.85679,0,128.46616,142.20958
173.15874,0,128.85349,141.75281
174.46068,0,129.24045,141.29917
175.76263,0,129.62468,140.85135
177.06457,0,130.00879,140.40627
178.36652,0,130.39101,139.96593
179.66846,0,130.77245,139.52901
180.97041,0,131.1525,139.09616
182.27235,0,131.53122,138.66725
183.5743,0,131.90839,138.24251
184.87624,0,132.28436,137.82146
186.17819,0,132.65886,137.4044
187.48013,0,133.0327,136.99037
188.78208,0,133.40471,136.58061
190.08403,0,133.77533,136.1746
191.38597,0,134.14502,135.7718
192.68792,0,134.51207,135.37402
193.98986,0,134.87854,134.97898
195.29181,0,135.24332,134.58785
196.59375,0,135.60706,134.19987
197.8957,0,135.96918,133.81564
199.19764,0,136.32935,133.43546
200.49959,0,136.68889,133.05789
201.80153,0,137.04604,132.68475
203.10348,0,137.40178,132.31496
204.40542,0,137.75624,131.94837
205.70737,0,138.10895,131.58541
207.00932,0,138.46031,131.22562
208.31126,0,138.80956,130.86977
209.61321,0,139.15796,130.51652
210.91515,0,139.50439,130.16696
212.2171,0,139.84872,129.82121
213.51904,0,140.1917,129.47846
214.82099,0,140.53285,129.13915
216.12293,0,140.87276,128.80268
217.42488,0,141.21011,128.47029
218.72682,0,141.54646,128.14043
220.02877,0,141.88033,127.81452
221.33071,0,142.21329,127.49098
222.63266,0,142.54385,127.17122
223.9346,0,142.87317,126.8541
225.23655,0,143.19952,126.54123
226.5385,0,143.52522,126.23038
227.84044,0,143.84869,125.92301
229.14239,0,144.17015,125.61888
230.44433,0,144.48943,125.31812
231.74628,0,144.80714,125.02011
233.04822,0,145.12256,124.72552
234.35017,0,145.43625,124.43377
235.65211,0,145.74744,124.14556
236.95406,0,146.05669,123.86033
238.256,0,146.36372,123.5783
239.55795,0,146.66866,123.29933
240.85989,0,146.97086,123.02398
242.16184,0,147.27121,122.7514
243.46379,0,147.56853,122.48264
244.76573,0,147.86269,122.21777
246.06768,0,148.15446,121.95605
247.36962,0,148.44212,121.69901
248.67157,0,148.72612,121.44618
249.97351,0,149.00487,121.19894
251.27546,0,149.27831,120.95729
252.5774,0,149.54416,120.72315
253.87935,0,149.79973,120.49884
255.18129,0,150.04298,120.28603
256.48324,0,150.26746,120.09024
257.78518,0,150.46964,119.91438
259.08713,0,150.64375,119.7633
260.38908,0,150.78931,119.63726
261.69102,0,150.90688,119.53563
262.99297,0,150.99921,119.45592
264.29491,0,151.0704,119.39452
265.59686,0,151.12343,119.34883
266.8988,0,151.1627,119.31501
268.20075,0,151.19232,119.28951
269.50269,0,151.21581,119.26931
270.80464,0,151.23505,119.25275
272.10658,0,151.25238,119.23785
273.40853,0,151.26857,119.22392
274.71047,0,151.2841,119.21057
276.01242,0,151.29935,119.19747
277.31437,0,151.31506,119.18396
278.61631,0,151.33234,119.16912
279.91826,0,151.35025,119.15373
281.2202,0,151.37,119.13678
282.52215,0,151.39183,119.11803
283.82409,0,151.41792,119.09564
285.12604,0,151.44972,119.06835
286.42798,0,151.49182,119.03225
287.72993,0,151.55376,118.97917
289.03187,0,151.65622,118.89146
290.33382,0,151.81697,118.75407
291.63576,0,152.02505,118.57665
292.93771,0,152.25807,118.37853
294.23966,0,152.50351,118.17049
295.5416,0,152.75432,117.95857
296.84355,0,153.0079,117.74498
298.14549,0,153.26205,117.53161
299.44744,0,153.51732,117.31799
300.74938,0,153.77159,117.10589
302.05133,0,154.02528,116.89494
303.35327,0,154.27803,116.68546
304.65522,0,154.5293,116.47785
305.95716,0,154.77895,116.27224
307.25911,0,155.02747,116.06818
308.56105,0,155.27472,115.8658
309.863,0,155.51974,115.66586
311.16495,0,155.76436,115.46686
312.46689,0,156.00662,115.27036
313.76884,0,156.24706,115.07594
315.07078,0,156.48633,114.88302
316.37273,0,156.72385,114.69209
317.67467,0,156.95898,114.50362
318.97662,0,157.19275,114.31679
320.27856,0,157.42467,114.13197
321.58051,0,157.6552,113.94877
322.88245,0,157.88408,113.7674
324.1844,0,158.11086,113.58819
325.48634,0,158.3353,113.41132
326.78829,0,158.55865,113.23578
328.09024,0,158.77997,113.06232
329.39218,0,158.99988,112.89042
330.69413,0,159.21744,112.72081
331.99607,0,159.43382,112.55256
333.29802,0,159.64771,112.38669
